City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
464,Puerto Escondido,MX,78.64,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
465,Dapaong,TG,77.36,clear sky,10.8639,0.205,Hotel Caroli
468,Jacareacanga,BR,72.55,moderate rain,-6.2222,-57.7528,Casa do Ian😎
471,May Pen,JM,79.81,few clouds,17.9645,-77.2451,Mus Com Bac
473,Atambua,ID,88.48,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
476,Moron,AR,71.96,scattered clouds,-34.6534,-58.6198,Hotel Morón
477,Rio Claro,BR,71.42,scattered clouds,-22.4114,-47.5614,Hotel Vivendas Rio Claro by Atlantica
478,Bodden Town,KY,77.0,broken clouds,19.2833,-81.25,Will T Place
482,Pozo Colorado,PY,78.78,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
483,Daru,PG,82.17,scattered clouds,-9.0763,143.2092,Daru Lodge
485,Tomatlan,MX,74.53,few clouds,19.9333,-105.25,El Salvial
487,Cam Ranh,VN,85.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
488,Salinopolis,BR,79.88,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
492,Coahuayana,MX,76.57,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
493,Ahuimanu,US,83.91,light rain,21.4447,-157.8378,Paradise Bay Resort
494,Maymyo,MM,70.07,scattered clouds,22.0333,96.4667,Tiger Hotel
498,Jinxi,CN,73.06,broken clouds,30.4323,116.2922,Jinling Hotel
500,Dhidhdhoo,MV,81.55,light rain,6.8833,73.1,Dhidhoo beach
501,Atar,MR,77.34,scattered clouds,20.5169,-13.0499,Oumou Elghoura
502,Port-Gentil,GA,77.9,moderate rain,-0.7193,8.7815,Fengshui Residence
505,Khipro,PK,77.23,clear sky,25.8285,69.3772,Mukesh Bhojraj Khatri Graphix Khipro
512,Ranau,MY,79.45,overcast clouds,5.9538,116.6641,The Second Room
516,Benemerito De Las Americas,MX,70.2,overcast clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
517,Hobyo,SO,79.32,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
523,Ambilobe,MG,74.1,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
524,Dom Pedro,BR,75.15,broken clouds,-4.4833,-44.45,Pousada Santa Amália
525,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
527,Honiara,SB,83.34,broken clouds,-9.4333,159.95,Heritage Park Hotel
533,Jawad,IN,70.0,few clouds,24.6,74.85,हर मंदिर जावद
534,Sola,VU,80.26,heavy intensity rain,-13.8833,167.55,Leumerus Bungalows
535,Pochutla,MX,77.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
536,Taungdwingyi,MM,81.18,scattered clouds,20.0167,95.55,NayNaing MobileService
539,Correntina,BR,72.01,overcast clouds,-13.3433,-44.6367,Hotel Pousada dos Sonhos
542,Shirpur,IN,74.8,overcast clouds,21.35,74.8833,Hotel Atithi
547,Emerald,AU,84.34,clear sky,-23.5333,148.1667,The Irish Village
548,Los Angeles,US,77.88,mist,34.0522,-118.2437,Kawada Hotel
549,Gweta,BW,75.69,broken clouds,-20.1833,25.2333,Gweta Lodge
550,Yulara,AU,82.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
555,Sohag,EG,71.89,clear sky,26.557,31.6948,Civil Registry - Sohag 1
556,Acajutla,SV,79.09,broken clouds,13.5928,-89.8275,asi es
559,Geraldton,AU,72.01,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
560,Vanimo,PG,85.66,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
562,Iralaya,HN,77.7,scattered clouds,15.0,-83.2333,Iglesia morava renovada
563,Victor Harbor,AU,75.79,clear sky,-35.5667,138.6167,McCracken Country Club
565,Bilma,NE,76.64,clear sky,18.6853,12.9164,Expeditions Ténére voyages
